Epoch,Samples,Mean CER,Mean CER (Norm),Mean WER,Mean WER (Norm),Mean BLEU,Mean BLEU (Norm)
0,95,20.70526,0.77168,5.24211,1.11910,0.04147,0.04147
1,95,21.93684,0.80775,5.03158,1.06222,0.00946,0.00946
2,95,25.22105,0.93339,6.68421,1.41425,0.03670,0.03670
3,95,21.63158,0.80620,5.36842,1.14607,0.01208,0.01208
4,95,22.60000,0.83217,4.74737,1.00222,0.00526,0.00526
5,95,22.12632,0.81885,5.12632,1.08463,0.01380,0.01380
6,95,21.90526,0.81640,4.77895,1.02022,0.01735,0.01735
7,95,22.38947,0.82442,4.94737,1.04444,0.01404,0.01404
8,95,22.25263,0.82353,4.58947,0.97105,0.02092,0.02092
9,95,22.21053,0.82778,4.55789,0.97303,0.01545,0.01545
10,95,22.14737,0.81550,4.61053,0.97333,0.02267,0.02267
11,95,22.01053,0.81457,4.58947,0.97105,0.02471,0.02471
12,95,22.52632,0.83954,4.54737,0.97079,0.01342,0.01342
13,95,22.29474,0.82093,4.60000,0.97111,0.01689,0.01689
14,95,22.04211,0.81574,4.54737,0.96214,0.02270,0.02270
15,95,22.21053,0.82778,4.53684,0.96854,0.01690,0.01690
16,95,22.37895,0.82403,4.61053,0.97333,0.01604,0.01604
17,95,22.49474,0.83249,4.55789,0.96437,0.01615,0.01615
18,95,22.02105,0.82071,4.53684,0.96854,0.01852,0.01852
19,95,22.57895,0.83140,4.57895,0.96667,0.01444,0.01444
20,95,23.27368,0.86132,4.55789,0.96437,0.00837,0.00837
21,95,22.77895,0.84896,4.53684,0.96854,0.01149,0.01149
22,95,23.43158,0.86279,4.57895,0.96667,0.01068,0.01068
23,95,23.32632,0.86326,4.53684,0.95991,0.00890,0.00890
24,95,23.12632,0.86191,4.52632,0.96629,0.00931,0.00931
25,95,21.80000,0.80271,4.62105,0.97556,0.02107,0.02107
26,95,22.63158,0.83755,4.57895,0.96882,0.01424,0.01424
27,95,22.46316,0.83719,4.54737,0.97079,0.01462,0.01462
28,95,22.42105,0.82558,4.57895,0.96667,0.01729,0.01729
29,95,22.82105,0.84457,4.57895,0.96882,0.01567,0.01567
30,95,22.54737,0.84033,4.49474,0.95955,0.01236,0.01236
31,95,22.62105,0.83295,4.54737,0.96000,0.01787,0.01787
32,95,22.21053,0.82197,4.52632,0.95768,0.01885,0.01885
33,95,22.44211,0.83641,4.52632,0.96629,0.01487,0.01487
34,95,22.64211,0.83372,4.53684,0.95778,0.01663,0.01663
35,95,22.35789,0.82743,4.53684,0.95991,0.01906,0.01906
36,95,22.46316,0.83719,4.52632,0.96629,0.01193,0.01193
37,95,22.21053,0.81783,4.56842,0.96444,0.02749,0.02749
38,95,21.81053,0.80717,4.57895,0.96882,0.02813,0.02813
39,95,21.72632,0.80973,4.56842,0.97528,0.02158,0.02158
40,95,21.52632,0.79264,4.61053,0.97333,0.03595,0.03595
41,95,21.61053,0.79977,4.55789,0.96437,0.03076,0.03076
42,95,21.96842,0.81875,4.52632,0.96629,0.02575,0.02575
43,95,21.80000,0.80271,4.53684,0.95778,0.03127,0.03127
44,95,21.57895,0.79860,4.55789,0.96437,0.03218,0.03218
45,95,21.32632,0.79482,4.47368,0.95506,0.02849,0.02849
46,95,21.46316,0.79031,4.58947,0.96889,0.02909,0.02909
47,95,21.15789,0.78302,4.56842,0.96659,0.02865,0.02865
48,95,20.55789,0.76618,4.52632,0.96629,0.03964,0.03964
49,95,21.05263,0.77519,4.58947,0.96889,0.03558,0.03558
50,95,20.35789,0.75341,4.58947,0.97105,0.03684,0.03684
51,95,20.95789,0.78109,4.53684,0.96854,0.03034,0.03034
52,95,21.50526,0.79186,4.54737,0.96000,0.02955,0.02955
53,95,20.50526,0.75886,4.55789,0.96437,0.03818,0.03818
54,95,20.28421,0.75598,4.55789,0.97303,0.03897,0.03897
55,95,20.52632,0.75581,4.56842,0.96444,0.04481,0.04481
56,95,19.62105,0.72614,4.70526,0.99555,0.05833,0.05833
57,95,19.12632,0.71283,4.65263,0.99326,0.05816,0.05816
58,95,19.63158,0.72287,4.66316,0.98444,0.06324,0.06324
59,95,19.49474,0.72146,4.68421,0.99109,0.05364,0.05364
60,95,19.40000,0.72303,4.58947,0.97978,0.05561,0.05561
61,95,19.98947,0.73605,4.57895,0.96667,0.05946,0.05946
62,95,19.83158,0.73393,4.56842,0.96659,0.05623,0.05623
63,95,20.03158,0.74657,4.54737,0.97079,0.04237,0.04237
64,95,19.97895,0.73566,4.52632,0.95556,0.05098,0.05098
65,95,19.07368,0.70588,4.58947,0.97105,0.07176,0.07176
66,95,18.52632,0.69047,4.80000,1.02472,0.06909,0.06909
67,95,18.62105,0.68566,4.78947,1.01111,0.08108,0.08108
68,95,18.68421,0.69147,4.65263,0.98441,0.08020,0.08020
69,95,18.45263,0.68772,4.62105,0.98652,0.09580,0.09580
70,95,18.35789,0.67597,4.52632,0.95556,0.09381,0.09381
71,95,18.98947,0.70277,4.48421,0.94878,0.07087,0.07087
72,95,18.85263,0.70263,4.51579,0.96404,0.07368,0.07368
73,95,18.28421,0.67326,4.49474,0.94889,0.10754,0.10754
74,95,17.97895,0.66537,4.53684,0.95991,0.10920,0.10920
75,95,17.83158,0.66457,4.29474,0.91685,0.11351,0.11351
