Epoch,Samples,Mean CER,Mean CER (Norm),Mean WER,Mean WER (Norm),Mean BLEU,Mean BLEU (Norm)
0,95,26.71579,0.99882,4.68421,1.00000,0.00000,0.00000
1,95,25.85263,0.96655,4.61053,0.98649,0.00000,0.00000
2,95,26.32632,0.95567,4.68421,0.98018,0.00135,0.00135
3,95,25.96842,0.95620,4.68421,0.98670,0.00000,0.00000
4,95,25.89474,0.95349,4.72632,0.99557,0.00000,0.00000
5,95,25.97895,0.95770,4.72632,0.99778,0.00000,0.00000
6,95,26.82105,0.98875,4.72632,0.99778,0.00000,0.00000
7,95,26.20000,0.96585,4.65263,0.98222,0.00000,0.00000
8,95,26.58947,0.99410,4.64211,0.99324,0.00000,0.00000
9,95,26.47368,0.97594,4.66316,0.98444,0.00000,0.00000
10,95,26.48421,0.97633,4.66316,0.98444,0.00000,0.00000
11,95,26.29474,0.97010,4.60000,0.97763,0.00000,0.00000
12,95,25.86316,0.95233,4.60000,0.96896,0.00000,0.00000
13,95,26.29474,0.97010,4.60000,0.97763,0.00000,0.00000
14,95,25.48421,0.95277,4.53684,0.97072,0.00000,0.00000
15,95,25.76842,0.95068,4.53684,0.96421,0.00000,0.00000
16,95,25.48421,0.95277,4.53684,0.97072,0.00000,0.00000
17,95,26.17895,0.95032,4.60000,0.96256,0.00000,0.00000
18,95,25.81053,0.95149,4.57895,0.96667,0.00000,0.00000
19,95,26.22105,0.95113,4.64211,0.96499,0.00000,0.00000
20,95,25.76842,0.95068,4.53684,0.96421,0.00000,0.00000
21,95,25.48421,0.95277,4.53684,0.97072,0.00000,0.00000
22,95,25.43158,0.95193,4.51579,0.96840,0.00000,0.00000
23,95,25.15789,0.92744,4.56842,0.96444,0.00207,0.00207
24,95,23.82105,0.89059,4.52632,0.96629,0.00311,0.00311
25,95,24.57895,0.89156,4.65263,0.96718,0.00518,0.00518
26,95,23.83158,0.89099,4.51579,0.96622,0.00415,0.00415
27,95,23.81053,0.89125,4.50526,0.96614,0.00518,0.00518
28,95,24.16842,0.89165,4.54737,0.96644,0.00622,0.00622
29,95,24.17895,0.89135,4.57895,0.96667,0.00518,0.00518
30,95,23.83158,0.89099,4.51579,0.96622,0.00415,0.00415
31,95,23.83158,0.89099,4.51579,0.96622,0.00415,0.00415
32,95,24.17895,0.89135,4.57895,0.96667,0.00518,0.00518
33,95,24.17895,0.89135,4.57895,0.96667,0.00518,0.00518
34,95,24.16842,0.89165,4.54737,0.96644,0.00622,0.00622
35,95,23.83158,0.89099,4.51579,0.96622,0.00415,0.00415
36,95,23.83158,0.89099,4.51579,0.96622,0.00415,0.00415
