Epoch,ctc_loss,val_ctc_loss
Epoch 0,130.33050537109375,95.40016780652498
Epoch 1,85.97544860839844,81.76675117894223
Epoch 2,83.65510559082031,80.56469610113847
Epoch 3,81.92401123046875,79.62961259139212
Epoch 4,81.58418273925781,79.58629588076943
Epoch 5,80.69328308105469,79.26967514439633
Epoch 6,80.34049224853516,79.38908986543355
Epoch 7,79.81632995605469,78.80514610692074
Epoch 8,79.46372985839844,78.97217485528243
Epoch 9,79.4834213256836,78.55089687548185
Epoch 10,79.02688598632812,78.81139943976152
Epoch 11,78.9443130493164,78.6556508716784
Epoch 12,78.58851623535156,77.99506470529657
Epoch 13,78.69912719726562,77.28518680773283
Epoch 14,78.29853820800781,77.79498287000155
Epoch 15,78.0049819946289,77.37030330457185
Epoch 16,78.25249481201172,77.40522689819336
Epoch 17,77.88427734375,77.04353645726255
Epoch 18,77.6669692993164,77.13940987837942
Epoch 19,77.59091186523438,76.54649435344496
Epoch 20,77.62158966064453,77.04559502852591
Epoch 21,77.24095916748047,76.74575488441869
Epoch 22,76.96503448486328,76.94103054247404
Epoch 23,77.38416290283203,76.77832794189453
Epoch 24,77.10415649414062,76.75095034147564
Epoch 25,76.9069595336914,76.10331597579153
Epoch 26,77.23963928222656,76.5979445005718
Epoch 27,76.81878662109375,76.28809967041016
Epoch 28,76.33578491210938,76.28292069686087
Epoch 29,76.6973648071289,76.15116374367162
Epoch 30,76.77456665039062,76.26540093672902
Epoch 31,75.9433364868164,75.76750646892347
Epoch 32,76.66730499267578,76.26790504455566
Epoch 33,76.15277862548828,75.87228546142578
Epoch 34,76.81314849853516,75.95066094649465
Epoch 35,76.06941223144531,75.81399232964766
Epoch 36,76.04052734375,75.91535991869475
Epoch 37,76.1777114868164,75.47583973533229
Epoch 38,76.01303100585938,75.94809714869449
Epoch 39,76.01766204833984,75.52602456745349
Epoch 40,75.92039489746094,75.5588722630551
Epoch 41,75.91777801513672,75.34143090499074
Epoch 42,75.69312286376953,75.4537856654117
Epoch 43,75.95372009277344,74.96415292840256
Epoch 44,75.56724548339844,75.50918803967927
Epoch 45,75.44235229492188,75.15294093081826
Epoch 46,75.63780975341797,75.23695650602642
Epoch 47,75.39391326904297,75.04056842201635
Epoch 48,75.24039459228516,75.2149969602886
Epoch 49,75.3876953125,74.69680669684159
Epoch 50,75.3126449584961,75.20789706581517
Epoch 51,75.07217407226562,74.85770739505166
Epoch 52,74.95616912841797,74.94141628867702
Epoch 53,75.39185333251953,74.77998520700555
Epoch 54,75.20210266113281,74.91316058510228
