epoch,ctc_loss,loss,val_ctc_loss,val_loss
0,169.9111328125,169.9111328125,104.60460662841797,104.60460662841797
1,98.85706329345703,98.85706329345703,100.15117645263672,100.15117645263672
2,88.68059539794922,88.68059539794922,96.9074935913086,96.9074935913086
3,85.70088958740234,85.70088958740234,88.74645233154297,88.74645233154297
4,83.79728698730469,83.79728698730469,90.13897705078125,90.13897705078125
5,83.15625,83.15625,87.83386993408203,87.83386993408203
6,82.27960968017578,82.27960968017578,83.60196685791016,83.60196685791016
7,81.78502655029297,81.78502655029297,82.34532928466797,82.34532928466797
8,81.289306640625,81.289306640625,82.94007873535156,82.94007873535156
9,80.79106903076172,80.79106903076172,80.67473602294922,80.67473602294922
10,80.49043273925781,80.49043273925781,79.94974517822266,79.94974517822266
11,80.39896392822266,80.39896392822266,79.79862213134766,79.79862213134766
12,80.11418151855469,80.11418151855469,79.59579467773438,79.59579467773438
13,80.0647964477539,80.0647964477539,79.4477767944336,79.4477767944336
14,79.84741973876953,79.84741973876953,80.6996841430664,80.6996841430664
15,79.5701675415039,79.5701675415039,80.40827178955078,80.40827178955078
16,79.57506561279297,79.57506561279297,78.93219757080078,78.93219757080078
17,79.51246643066406,79.51246643066406,80.1943588256836,80.1943588256836
18,79.25059509277344,79.25059509277344,78.65969848632812,78.65969848632812
19,79.16419219970703,79.16419219970703,78.59430694580078,78.59430694580078
20,79.10287475585938,79.10287475585938,79.87262725830078,79.87262725830078
21,79.01731872558594,79.01731872558594,78.41677856445312,78.41677856445312
22,78.82598114013672,78.82598114013672,78.32588195800781,78.32588195800781
23,78.75862121582031,78.75862121582031,78.3080825805664,78.3080825805664
24,78.6983413696289,78.6983413696289,78.23450469970703,78.23450469970703
25,78.66108703613281,78.66108703613281,79.48898315429688,79.48898315429688
26,78.52757263183594,78.52757263183594,79.44625854492188,79.44625854492188
27,78.40768432617188,78.40768432617188,79.38692474365234,79.38692474365234
28,78.47245788574219,78.47245788574219,78.01422882080078,78.01422882080078
29,78.31629180908203,78.31629180908203,77.91929626464844,77.91929626464844
30,78.28556823730469,78.28556823730469,79.23681640625,79.23681640625
31,78.2437973022461,78.2437973022461,77.8244400024414,77.8244400024414
