Epoch,train_loss_s0,val_loss_s0,train_loss_s1,val_loss_s1
Epoch 0,303.9907531738281,259.63338751541943,306.5536193847656,257.26630771034644
Epoch 1,204.10499572753906,155.1091110229492,203.91073608398438,165.37674797459653
Epoch 2,124.96833038330078,100.03294328388415,132.19931030273438,122.91114389519943
Epoch 3,92.10205841064453,89.74669014780144,105.32697296142578,94.87288135729338
Epoch 4,83.98641967773438,83.04124163577431,90.20948028564453,87.68302975704795
Epoch 5,81.67742156982422,79.56220144974559,84.75154113769531,85.827942617316
Epoch 6,79.36064910888672,80.08211394862124,81.73094940185547,81.15755785891885
Epoch 7,78.66767883300781,77.7214718868858,79.7856216430664,81.20089844151548
Epoch 8,77.51193237304688,78.17912547462865,78.9473648071289,77.70190544128418
Epoch 9,77.55204772949219,76.7462840833162,78.34861755371094,76.75267864026522
Epoch 10,76.0771484375,76.30313977693257,77.8328628540039,77.47699468512285
Epoch 11,75.95474243164062,74.76896894354569,77.44038391113281,75.791797838713
Epoch 12,74.95332336425781,74.3444697129099,76.00460815429688,74.26187979045667
Epoch 13,74.68421173095703,74.78752071982936,75.81072998046875,77.09963796515214
Epoch 14,74.43799591064453,74.21982510215358,75.59130859375,74.53434554652164
Epoch 15,74.778076171875,74.36842968589382,75.33338165283203,73.60607863978336
Epoch 16,73.49645233154297,73.2135395853143,74.39844512939453,73.99508608767862
Epoch 17,73.1880874633789,72.20661432366622,74.3272476196289,73.40152981406764
Epoch 18,72.86693572998047,72.84411018773129,74.51097106933594,73.26005967792712
Epoch 19,72.34054565429688,72.86400911431564,74.09675598144531,73.90049093146074
Epoch 20,71.77587127685547,71.65829744840923,73.44430541992188,73.33262412422582
Epoch 21,71.77618408203125,72.06918527703536,73.20947265625,73.09898239938836
Epoch 22,71.1183090209961,72.16967663012053,72.80017852783203,73.70012760162354
Epoch 23,71.08384704589844,71.02193011233682,72.12895202636719,72.90114481072676
Epoch 24,70.61128234863281,71.28395680879292,72.35285949707031,72.23550658978914
Epoch 25,70.46865844726562,70.10360932601125,72.44940185546875,71.97657251859967
Epoch 26,70.21005249023438,69.5882959265458,72.24945831298828,70.89209340748035
Epoch 27,69.26582336425781,69.36076238531815,71.26478576660156,70.28376771023399
Epoch 28,69.35932922363281,69.51514860454358,71.3450698852539,70.9512692702444
Epoch 29,69.12849426269531,68.84737783733168,70.966064453125,70.33117301338598
Epoch 30,68.8440170288086,69.279578530161,70.64037322998047,69.80156131543612
Epoch 31,68.38634490966797,68.82389554475483,70.71373748779297,70.73003526988782
Epoch 32,68.29553985595703,68.77427800831042,70.41258239746094,69.9553102593673
Epoch 33,67.77372741699219,68.88615431534616,70.2345962524414,70.33957500457764
Epoch 34,67.69296264648438,68.56212901065224,70.36599731445312,70.60235081722861
Epoch 35,67.13658142089844,67.53009505020945,69.90766143798828,69.5643670433446
