Epoch,Samples,Mean CER,Mean CER (Norm),Mean WER,Mean WER (Norm),Mean BLEU,Mean BLEU (Norm)
92,95,13.53684,0.49942,4.05263,0.85746,0.29406,0.29406
93,95,13.75789,0.50659,4.00000,0.84444,0.29757,0.29757
94,95,13.24211,0.48647,3.91579,0.82483,0.32530,0.32530
95,95,12.26316,0.45243,3.71579,0.78619,0.36637,0.36637
96,95,12.27368,0.45194,3.73684,0.78889,0.37558,0.37558
97,95,12.36842,0.45437,3.85263,0.81153,0.36088,0.36088
98,95,12.63158,0.46602,3.94737,0.83519,0.33592,0.33592
99,95,12.28421,0.45233,3.80000,0.80222,0.35642,0.35642
100,95,12.02105,0.44161,3.82105,0.80488,0.36584,0.36584
101,95,12.88421,0.47534,3.81053,0.80624,0.34702,0.34702
102,95,12.33684,0.45426,3.77895,0.79778,0.36469,0.36469
103,95,12.33684,0.45321,3.63158,0.76497,0.37168,0.37168
104,95,11.95789,0.44117,3.68421,0.77951,0.38222,0.38222
105,95,12.09474,0.44535,3.66316,0.77333,0.38287,0.38287
106,95,11.93684,0.43852,3.58947,0.75610,0.39152,0.39152
107,95,11.60000,0.42796,3.63158,0.76837,0.39983,0.39983
108,95,11.69474,0.43062,3.62105,0.76444,0.40599,0.40599
109,95,11.41053,0.41918,3.55789,0.74945,0.41801,0.41801
110,95,11.12632,0.41049,3.61053,0.76392,0.42390,0.42390
111,95,11.13684,0.41008,3.61053,0.76222,0.42514,0.42514
112,95,11.09474,0.40758,3.55789,0.74945,0.43374,0.43374
113,95,10.88421,0.40155,3.49474,0.73942,0.44243,0.44243
114,95,10.47368,0.38566,3.51579,0.74222,0.46185,0.46185
115,95,10.54737,0.38747,3.48421,0.73392,0.46213,0.46213
116,95,10.37895,0.38291,3.45263,0.73051,0.46737,0.46737
117,95,10.16842,0.37442,3.45263,0.72889,0.47693,0.47693
118,95,10.36842,0.38090,3.47368,0.73171,0.46644,0.46644
119,95,10.18947,0.37592,3.42105,0.72383,0.47373,0.47373
120,95,9.82105,0.36163,3.34737,0.70667,0.49603,0.49603
121,95,9.80000,0.36002,3.18947,0.67184,0.50147,0.50147
122,95,10.29474,0.37981,3.33684,0.70601,0.47220,0.47220
123,95,9.67368,0.35620,3.24211,0.68444,0.51153,0.51153
124,95,9.18947,0.33759,3.16842,0.66741,0.53677,0.53677
